Date,^DJI,GS,MCD,DOW,CAT,MRK,CVX,VZ,MSFT,AMGN,CSCO,BA,PG,JPM,WBA,DIS,KO,MMM,AXP,WMT,JNJ,HON,V,NKE,AAPL,CRM,HD,TRV,UNH,INTC,IBM
2019-04-09,26150.580078125,192.71981811523438,182.23573303222656,50.62631607055664,128.85675048828125,76.75402069091797,115.317138671875,54.219268798828125,116.80659484863281,183.65634155273438,52.19035339355469,360.3965148925781,99.52887725830078,98.972412109375,50.908447265625,115.4490737915039,44.12165451049805,199.05674743652344,106.80248260498047,95.65463256835938,129.21482849121094,154.87025451660156,155.80001831054688,82.82203674316406,48.92494201660156,156.97000122070312,192.48822021484375,129.36849975585938,241.61007690429688,52.9977912902832,130.3498992919922
2019-04-10,26157.16015625,194.98692321777344,181.41122436523438,50.12248229980469,129.97189331054688,76.77300262451172,115.2712173461914,54.41423797607422,117.6977310180664,184.52235412597656,52.795677185058594,356.39251708984375,99.51936340332031,99.41597747802734,50.917789459228516,115.7454605102539,44.09328842163086,199.19761657714844,107.1038818359375,96.53665161132812,129.224365234375,154.02297973632812,156.85853576660156,83.41167449951172,49.199607849121094,160.24000549316406,191.07977294921875,129.6268768310547,238.92974853515625,53.40974044799805,131.18458557128906
2019-04-11,26143.05078125,194.8428192138672,181.08526611328125,49.38472366333008,131.23822021484375,75.84207153320312,115.7304916381836,54.36781692504883,117.83482360839844,182.82838439941406,52.58759689331055,361.49029541015625,99.61446380615234,100.25592041015625,49.918304443359375,115.19221496582031,44.15946578979492,200.53115844726562,106.80248260498047,97.69975280761719,128.8717041015625,154.91836547851562,156.16604614257812,83.52960205078125,48.79005813598633,160.72999572753906,193.0439453125,130.41156005859375,228.62594604492188,53.457645416259766,131.88169860839844
2019-04-12,26412.30078125,199.65553283691406,183.69300842285156,52.45271301269531,133.440185546875,75.45259857177734,110.0078125,54.534934997558594,118.44196319580078,182.17172241210938,53.24021530151367,370.74822998046875,99.90925598144531,104.95586395263672,49.92764663696289,128.4897003173828,44.187835693359375,204.1843719482422,107.83308410644531,98.43635559082031,129.60562133789062,156.43002319335938,157.9269256591797,84.7481460571289,48.770442962646484,160.7100067138672,195.31471252441406,131.78953552246094,216.7780303955078,54.05161666870117,132.40451049804688
2019-04-15,26384.76953125,192.03781127929688,183.9326934814453,51.98486328125,132.54238891601562,74.59767150878906,110.35687255859375,54.507076263427734,118.53990173339844,181.9623260498047,53.495582580566406,366.6661071777344,100.5464096069336,103.75728607177734,50.66558837890625,130.44578552246094,44.43363571166992,202.691162109375,107.46361541748047,99.27962493896484,130.12030029296875,155.9774932861328,158.71836853027344,85.32793426513672,48.85872268676758,160.08999633789062,196.28240966796875,130.89959716796875,223.5565948486328,53.9174919128418,131.99176025390625
2019-04-16,26452.66015625,193.8917999267578,183.7888946533203,52.632652282714844,134.2245635986328,73.6762466430664,111.3030014038086,54.581356048583984,118.26570129394531,178.9645233154297,53.86445617675781,372.7795104980469,101.20258331298828,104.85205078125,51.226043701171875,128.3316192626953,44.3863639831543,203.69601440429688,108.77616119384766,99.76422882080078,131.5500030517578,156.8054962158203,158.51058959960938,86.28115844726562,48.86362838745117,158.69000244140625,195.90875244140625,132.38284301757812,214.58328247070312,54.329444885253906,133.12911987304688
2019-04-17,26449.5390625,199.71316528320312,183.70257568359375,52.470703125,134.8955535888672,70.21851348876953,110.47628021240234,53.64365005493164,119.24496459960938,173.6541290283203,53.25913619995117,368.6778869628906,101.37113952636719,107.8720932006836,51.50627899169922,130.1593017578125,44.69834518432617,204.39097595214844,108.65949249267578,99.9871597290039,132.0265350341797,156.83441162109375,158.71836853027344,87.19508361816406,49.815155029296875,155.33999633789062,197.90167236328125,130.01918029785156,210.5821533203125,56.10179138183594,127.59815216064453
2019-04-18,26559.5390625,197.80154418945312,186.86642456054688,51.97587585449219,136.30270385742188,69.52507781982422,110.09967041015625,53.885040283203125,120.81179809570312,168.8957061767578,53.34425354003906,371.1681823730469,101.56269073486328,107.07933044433594,51.02988052368164,130.85084533691406,44.887428283691406,205.5554962158203,110.51651000976562,100.00654602050781,131.07342529296875,162.7750244140625,158.4413604736328,87.65692901611328,49.994178771972656,155.99000549316406,197.04891967773438,132.9474334716797,215.3504638671875,56.034725189208984,128.7172088623047
2019-04-22,26511.05078125,196.54310607910156,185.91725158691406,52.08383560180664,135.37095642089844,69.78153991699219,111.97354888916016,54.1914176940918,121.19371032714844,167.8393096923828,53.287506103515625,366.3829650878906,101.52437591552734,107.21145629882812,50.53480529785156,130.0901336669922,44.81179428100586,205.23619079589844,109.21367645263672,99.2214584350586,131.368896484375,161.98553466796875,158.6787872314453,85.8487777709961,50.15848922729492,158.75999450683594,196.20578002929688,130.72735595703125,220.5557403564453,56.350868225097656,127.39634704589844
2019-04-23,26656.390625,196.10121154785156,187.20193481445312,51.858909606933594,135.0381622314453,70.86447143554688,112.08377838134766,53.058753967285156,122.8388671875,171.07504272460938,53.6185417175293,365.25982666015625,98.79496765136719,107.34357452392578,49.712806701660156,131.74986267089844,45.57756805419922,206.1377410888672,110.80818939208984,99.89991760253906,133.3418426513672,165.42279052734375,159.92526245117188,85.91755676269531,50.88193893432617,161.22999572753906,197.42259216308594,132.06704711914062,223.92562866210938,56.31254959106445,128.81808471679688
2019-04-24,26597.05078125,192.64300537109375,189.47415161132812,50.36539840698242,130.94985961914062,70.98796081542969,108.64832305908203,52.993770599365234,122.41778564453125,169.68560791015625,53.798248291015625,366.6661071777344,99.30253601074219,107.16426086425781,49.946327209472656,133.46885681152344,45.36012268066406,205.74331665039062,110.85678100585938,100.34577941894531,132.6746826171875,164.92213439941406,159.75711059570312,86.86095428466797,50.803462982177734,159.55999755859375,198.06454467773438,133.18667602539062,223.70225524902344,56.255069732666016,128.36863708496094
2019-04-25,26462.080078125,193.4691162109375,189.76177978515625,49.78059387207031,129.42861938476562,72.51734161376953,108.29927825927734,51.8518180847168,126.47193145751953,171.76028442382812,53.27804946899414,373.834228515625,98.90988159179688,107.22090148925781,49.20838928222656,135.5830078125,45.2277717590332,179.10977172851562,112.6651840209961,100.3360824584961,133.1035614013672,164.08445739746094,159.29214477539062,86.04530334472656,50.3424186706543,163.08999633789062,197.853759765625,133.19627380371094,224.12954711914062,55.1916618347168,127.15788269042969
2019-04-26,26543.330078125,195.08297729492188,189.27281188964844,49.708614349365234,132.18585205078125,72.79281616210938,107.56440734863281,52.52956008911133,127.19659423828125,172.7024383544922,52.85243225097656,371.87127685546875,101.38072204589844,108.03252410888672,49.3671875,138.2306671142578,45.62483596801758,180.0019073486328,114.33747863769531,98.40728759765625,133.8088836669922,165.84645080566406,161.18162536621094,86.78233337402344,50.10208511352539,165.9600067138672,195.0847625732422,134.20103454589844,230.16033935546875,50.22910690307617,127.90084075927734
2019-04-29,26554.390625,198.77175903320312,188.98519897460938,49.93354034423828,132.17636108398438,72.935302734375,108.1339340209961,52.77094650268555,127.0790786743164,172.4169158935547,53.08888244628906,370.17205810546875,100.3464126586914,109.58973693847656,50.030399322509766,137.61814880371094,45.776092529296875,178.63079833984375,113.5207748413086,98.43635559082031,133.28465270996094,166.13526916503906,162.38853454589844,86.73320770263672,50.178104400634766,165.36000061035156,193.6954803466797,135.36849975585938,230.5973358154297,48.96451950073242,127.54312133789062
